Player,Depth,Heuristic,Total Plays,Total Time,Total Leaves,Total Cuts,Won
1,3,center,21,4.611903667449951,196503,1124,1
2,2,subtraction,20,0.20801973342895508,1288,442,0

1,3,center,37,6.868366479873657,251208,3338,1
2,2,num_pieces,36,0.5411608219146729,2356,1162,0

1,3,center,25,4.930471420288086,209812,1286,1
2,2,side,24,0.24425315856933594,3974,455,0

1,3,center,25,3.77801251411438,152477,1496,1
2,2,center,24,0.265331506729126,8813,413,0

1,3,subtraction,34,0.8053014278411865,50576,794,0
2,3,subtraction,35,1.067823886871338,51148,914,1

1,3,subtraction,64,3.542973041534424,201549,3200,1
2,3,num_pieces,62,2.1684820652008057,115888,2037,0

1,3,subtraction,73,1.9478838443756104,120957,2967,0
2,3,side,74,3.1175272464752197,91988,5032,1

1,3,subtraction,36,1.5733864307403564,78181,1524,1
2,3,center,34,2.249490737915039,43161,3223,0

1,3,num_pieces,74,3.496027946472168,211557,2803,0
2,3,subtraction,75,7.225069761276245,571704,5995,1

1,3,num_pieces,179,6.781999826431274,279399,5698,0
2,3,num_pieces,180,7.987839460372925,330829,7089,1

1,3,num_pieces,217,6.293161153793335,371124,6442,0
2,3,side,218,13.118051052093506,319528,18642,1

1,3,num_pieces,69,2.9424209594726562,148498,2213,1
2,3,center,67,3.503183126449585,73903,5136,0

1,3,side,63,14.655880451202393,884478,7085,0
2,3,subtraction,64,6.103826284408569,495924,5722,1

1,3,side,292,26.495497226715088,942529,27407,0
2,3,num_pieces,293,16.653433799743652,1133136,13413,1

1,3,side,57,3.2827484607696533,125810,2486,1
2,3,side,55,2.1864449977874756,51738,2880,0

1,3,side,285,35.61591339111328,1057348,29354,1
2,3,center,283,35.90298795700073,861502,36529,0

1,3,center,32,5.281710863113403,175457,3819,0
2,3,subtraction,33,2.855356216430664,118490,2719,1

1,3,center,133,28.212595462799072,1031517,20937,1
2,3,num_pieces,131,7.078354358673096,449444,6087,0

1,3,center,28,3.017580509185791,110119,2171,0
2,3,side,29,1.5491743087768555,27134,1634,1

1,3,center,42,4.594028472900391,173561,3012,1
2,3,center,40,2.0197222232818604,49215,2653,0

1,3,subtraction,21,0.36220598220825195,23847,445,1
2,4,subtraction,19,5.383378505706787,75070,11997,0

1,3,subtraction,35,1.053551197052002,66807,1068,1
2,4,num_pieces,33,10.833687543869019,124931,25100,0

1,3,subtraction,25,0.5767204761505127,37528,571,1
2,4,side,23,12.17791748046875,201224,23067,0

1,3,subtraction,24,0.5050048828125,32551,467,1
2,4,center,22,11.860974550247192,297490,18851,0

1,3,num_pieces,34,0.6976501941680908,46219,950,1
2,4,subtraction,32,7.877970457077026,106232,17582,0

1,3,num_pieces,24,0.7117552757263184,44025,584,1
2,4,num_pieces,22,8.163986444473267,94801,18920,0

1,3,num_pieces,29,0.9876351356506348,62314,747,1
2,4,side,27,15.786144733428955,189248,31833,0

1,3,num_pieces,25,0.6809241771697998,45200,531,1
2,4,center,23,12.029131650924683,289019,19469,0

1,3,side,21,2.956686019897461,125569,1173,1
2,4,subtraction,19,36.375438928604126,237400,75434,0

1,3,side,21,2.9089698791503906,121599,1207,1
2,4,num_pieces,19,14.463018655776978,102209,31860,0

1,3,side,22,2.901109218597412,123500,1165,1
2,4,side,20,27.22410273551941,413454,48542,0

1,3,side,21,3.0447516441345215,128477,1194,1
2,4,center,19,40.83558392524719,1035271,62147,0

1,3,center,22,5.025445461273193,214529,1088,1
2,4,subtraction,20,48.86361742019653,282473,107758,0

1,3,center,29,5.8349289894104,245928,1429,1
2,4,num_pieces,27,44.68510723114014,297985,99627,0

1,3,center,25,6.222545623779297,256140,1697,1
2,4,side,23,47.25935387611389,703160,85691,0

1,3,center,25,6.248068332672119,268291,1600,1
2,4,center,23,64.07569980621338,1839481,95358,0

1,4,subtraction,27,59.56998610496521,268849,131767,0
2,1,subtraction,28,0.011698007583618164,694,1,1

1,4,subtraction,27,59.60487914085388,268849,131767,0
2,1,num_pieces,28,0.011680841445922852,694,1,1

1,4,subtraction,17,30.524806261062622,165371,62726,0
